reference ,created_time                ,updated_time                ,account_reference ,amount   ,settled_time
Y3uFTdZr  ,2024-09-05T13:56:34.580865Z ,2024-09-05T13:56:34.580865Z ,w9KXfqC6          ,1277.77  ,2024-09-05T08:00:00Z
VeU92GTW  ,2024-09-05T13:57:04.554600Z ,2024-09-05T13:57:04.554600Z ,W3Lz4U2i          ,2055.32  ,2024-09-05T08:00:00Z
KBqsrEB3  ,2024-09-05T13:57:30.423018Z ,2024-09-05T13:57:30.423018Z ,ekrV3GbM          ,1739.4   ,2024-09-05T08:00:00Z
zLWatGWh  ,2024-09-05T13:57:54.028919Z ,2024-09-05T13:57:54.028919Z ,XHGYEFBk          ,3310.11  ,2024-09-05T08:00:00Z
ZXmvkpQZ  ,2024-09-05T13:53:37.729299Z ,2024-10-04T13:55:07.991978Z ,SZjph9v8          ,0        ,2024-09-05T08:00:00Z

6BoH7u5E  ,2024-10-04T13:59:18.687468Z ,2024-10-04T13:59:18.687468Z ,efpmBxpS          ,149999   ,2024-10-04T08:00:00Z
mV3SDTA8  ,2024-10-04T14:00:04.333806Z ,2024-10-04T14:00:04.333806Z ,uHAYzo9i          ,51964    ,2024-10-04T08:00:00Z
xJY5Pa6c  ,2024-10-04T14:00:54.133249Z ,2024-10-04T14:00:54.133249Z ,FowrhphW          ,403328   ,2024-10-04T08:00:00Z
LYyCu7sB  ,2024-10-04T14:01:28.268048Z ,2024-10-04T14:01:28.268048Z ,oo3dKjpa          ,9997     ,2024-10-04T08:00:00Z
bDSBSfJi  ,2024-10-04T14:02:10.091181Z ,2024-10-04T14:02:10.091181Z ,xa3Y4mos          ,1633971  ,2024-10-04T08:00:00Z
8DoDpnM6  ,2024-10-04T14:02:45.693276Z ,2024-10-04T14:02:45.693276Z ,cHd76DUN          ,-14941   ,2024-10-04T08:00:00Z
wyLoAcZp  ,2024-10-04T14:03:21.773815Z ,2024-10-04T14:03:21.773815Z ,TA23Za6E          ,48165    ,2024-10-04T08:00:00Z
asJvTTHJ  ,2024-10-04T14:03:45.018283Z ,2024-10-04T14:03:45.018283Z ,hWeU9mSG          ,-1238    ,2024-10-04T08:00:00Z
CAaJdtoM  ,2024-10-04T14:04:33.163378Z ,2024-10-04T14:04:33.163378Z ,tQqodHcm          ,317886   ,2024-10-04T08:00:00Z
p5cmWX6J  ,2024-10-04T14:05:07.526101Z ,2024-10-04T14:05:07.526101Z ,26CACQcy          ,-215     ,2024-10-04T08:00:00Z
SVQjEzcv  ,2024-10-04T14:05:55.555285Z ,2024-10-04T14:05:55.555285Z ,xDSpGPK7          ,361541   ,2024-10-04T08:00:00Z
nUXjuNP9  ,2024-10-04T14:06:24.694174Z ,2024-10-04T14:06:24.694174Z ,SZjph9v8          ,0        ,2024-10-04T08:00:00Z
YETpxq7b  ,2024-10-04T14:07:21.179600Z ,2024-10-04T14:07:21.179600Z ,FXSs9CVf          ,1354997  ,2024-10-04T08:00:00Z
XqcGvHPg  ,2024-10-04T14:07:41.315073Z ,2024-10-04T14:07:41.315073Z ,Bs36Lr9f          ,-4516654 ,2024-10-04T08:00:00Z
fgLu7wHe  ,2024-10-04T14:08:15.814703Z ,2024-10-04T14:08:15.814703Z ,nNMBYWD3          ,20001    ,2024-10-04T08:00:00Z
yNTYPD28  ,2024-10-04T14:08:35.362085Z ,2024-10-04T14:08:35.362085Z ,yy7yR7mw          ,50000    ,2024-10-04T08:00:00Z
2FiYE6DH  ,2024-10-04T14:15:35.846615Z ,2024-10-04T14:15:35.846615Z ,BKugABq9          ,18548    ,2024-10-04T08:00:00Z
7SRHLejb  ,2024-10-04T14:16:14.881856Z ,2024-10-04T14:16:14.881856Z ,w9KXfqC6          ,475.5    ,2024-10-04T08:00:00Z
fpbzzbkK  ,2024-10-04T14:16:45.418170Z ,2024-10-04T14:16:45.418170Z ,W3Lz4U2i          ,2064.38  ,2024-10-04T08:00:00Z
aY9cTtMK  ,2024-10-04T14:18:46.059662Z ,2024-10-04T14:18:46.059662Z ,pnGtRFkA          ,801.05   ,2024-10-04T08:00:00Z
smhRXhwM  ,2024-10-04T14:19:31.748638Z ,2024-10-04T14:19:31.748638Z ,ekrV3GbM          ,1830.52  ,2024-10-04T08:00:00Z
iwhXt8rs  ,2024-10-04T14:19:59.395022Z ,2024-10-04T14:19:59.395022Z ,XHGYEFBk          ,3346.78  ,2024-10-04T08:00:00Z

AMdcLzWd  ,2024-11-06T14:17:40.439332Z ,2024-11-06T14:17:40.439332Z ,pnGtRFkA          ,777.8    ,2024-11-06T08:00:00Z
zVmtei6S  ,2024-11-06T14:20:29.714014Z ,2024-11-06T14:20:29.714014Z ,efpmBxpS          ,149999   ,2024-11-06T08:00:00Z
G6mbzmvs  ,2024-11-06T14:20:57.201078Z ,2024-11-06T14:20:57.201078Z ,uHAYzo9i          ,50490    ,2024-11-06T08:00:00Z
